cow_id,parity,blood_calcium_mg_dl,blood_phosphorus_mg_dl,body_condition_score,days_to_calving,milk_yield_day1_kg,activity_level_score,dietary_cation_anion_difference,feed_intake_kg_day,rumination_minutes_day,behavioral_pattern,emergency_vet_required,stage
COW-1490,5,8.82,7.88,3.4,3,40.6,8.4,7.3,22.0,537.5,Lethargic,No,Normal
COW-1491,1,6.77,3.16,3.3,12,34.4,3.1,18.7,17.4,299.9,Unable to stand,No,Mild
COW-1492,2,5.56,7.55,3.1,-2,13.9,2.7,5.1,14.5,241.8,Unable to stand,Yes,Moderate
COW-1493,6,8.85,4.02,4.9,10,28.9,8.7,20.7,18.5,556.4,Unable to stand,No,Normal
COW-1494,4,5.68,5.52,3.3,-2,12.2,3.5,4.0,10.2,287.8,Muscle tremors,Yes,Moderate
COW-1495,2,7.66,5.26,3.1,-1,16.6,6.1,33.6,19.1,484.9,Normal movement,No,Subclinical
COW-1496,3,9.08,6.49,3.5,8,28.2,9.9,19.5,18.8,491.4,Lethargic,No,Normal
COW-1497,3,7.66,3.95,2.1,9,39.2,5.8,13.6,18.7,353.2,Lethargic,No,Subclinical
COW-1498,6,7.92,5.65,3.6,24,20.6,6.6,-7.7,17.4,449.9,Lethargic,No,Subclinical
COW-1499,5,8.95,3.74,2.9,5,31.7,8.1,-6.2,20.0,576.8,Unable to stand,No,Normal
COW-1500,3,10.18,4.19,2.1,15,30.1,9.1,9.2,22.7,473.0,Lethargic,No,Normal
COW-1501,1,9.83,7.88,3.6,2,42.2,9.9,7.3,19.0,517.3,Muscle tremors,No,Normal
COW-1502,8,6.84,5.54,3.9,13,26.6,3.3,0.9,17.8,331.9,Unable to stand,No,Mild
COW-1503,8,6.3,6.39,2.4,-4,24.1,3.2,31.2,14.9,256.0,Muscle tremors,No,Mild
COW-1504,6,7.08,7.68,2.8,-4,12.9,6.3,31.7,17.9,383.3,Normal movement,No,Subclinical
COW-1505,7,3.77,7.54,3.1,4,35.1,1.0,8.5,7.6,193.2,Muscle tremors,Yes,Critical
COW-1506,5,7.48,4.08,4.7,21,38.1,5.6,0.9,17.2,434.2,Muscle tremors,No,Subclinical
COW-1507,7,6.13,5.37,4.6,16,12.3,4.2,37.8,12.5,281.2,Muscle tremors,No,Mild
COW-1508,7,9.78,5.84,4.7,7,16.5,7.8,6.0,19.2,519.3,Unable to stand,No,Normal
COW-1509,5,8.17,3.13,2.0,11,20.5,5.6,20.2,17.8,419.5,Muscle tremors,No,Subclinical
COW-1510,5,9.33,3.6,2.8,-1,31.0,8.5,4.9,22.8,486.7,Muscle tremors,No,Normal
COW-1511,5,7.88,5.56,3.7,11,15.7,6.0,-11.8,18.5,367.9,Lethargic,No,Subclinical
COW-1512,3,7.5,7.78,2.1,13,28.5,5.1,36.5,16.8,445.4,Unable to stand,No,Subclinical
COW-1513,3,10.03,4.58,4.5,14,19.5,8.8,23.4,19.2,498.4,Lethargic,No,Normal
COW-1514,6,10.15,5.42,3.0,5,13.6,7.0,-6.5,21.6,506.0,Reduced movement,No,Normal
COW-1515,2,5.38,3.09,3.0,18,14.9,3.8,9.3,8.8,195.7,Unable to stand,Yes,Moderate
COW-1516,6,7.24,3.64,4.1,9,20.8,5.6,-3.5,18.7,367.8,Normal movement,No,Subclinical
COW-1517,2,7.11,3.54,4.4,27,30.8,6.5,10.8,18.8,356.4,Lethargic,No,Subclinical
COW-1518,5,9.84,4.03,4.7,6,33.5,9.3,-13.4,23.5,588.0,Reduced movement,No,Normal
COW-1519,5,5.85,6.64,2.7,-1,13.5,2.7,16.8,9.1,240.1,Normal movement,Yes,Moderate
COW-1520,4,8.35,6.63,4.8,27,39.8,5.3,11.1,18.8,350.6,Unable to stand,No,Subclinical
COW-1521,2,8.86,4.14,2.3,15,14.3,8.1,-8.9,20.7,482.1,Reduced movement,No,Normal
COW-1522,6,7.99,3.58,2.9,14,34.0,6.1,31.3,15.2,399.2,Reduced movement,No,Subclinical
COW-1523,5,8.38,7.01,4.8,18,16.3,5.9,39.9,19.3,484.2,Muscle tremors,No,Subclinical
COW-1524,7,6.39,5.0,3.8,1,36.0,4.3,34.1,12.5,271.5,Reduced movement,No,Mild
COW-1525,4,9.18,7.19,4.2,12,36.8,8.8,27.1,24.9,468.4,Unable to stand,No,Normal
COW-1526,7,9.21,5.56,2.4,24,13.8,9.0,-1.2,24.7,598.1,Muscle tremors,No,Normal
COW-1527,3,8.56,3.13,2.5,15,15.3,9.2,19.2,23.8,524.7,Normal movement,No,Normal
COW-1528,8,6.71,4.31,3.0,29,29.1,3.4,37.4,16.0,323.5,Normal movement,No,Mild
COW-1529,2,4.04,3.16,3.7,14,41.0,1.0,-6.0,6.3,135.2,Muscle tremors,Yes,Critical
COW-1530,7,9.47,6.43,3.7,25,29.7,7.3,-6.4,22.7,549.0,Normal movement,No,Normal
COW-1531,8,7.83,4.42,2.2,-3,14.5,5.8,5.2,18.4,465.0,Unable to stand,No,Subclinical
COW-1532,6,9.26,3.28,2.7,10,32.7,8.3,17.6,24.9,511.8,Normal movement,No,Normal
COW-1533,2,5.3,7.32,3.7,21,19.3,2.0,23.3,10.3,235.3,Unable to stand,Yes,Moderate
COW-1534,6,9.26,3.5,4.0,16,27.4,8.2,29.6,22.0,571.2,Lethargic,No,Normal
COW-1535,5,9.23,6.94,4.5,29,17.5,8.3,-0.4,21.5,577.1,Lethargic,No,Normal
COW-1536,7,4.63,5.89,3.8,12,12.4,1.4,29.1,9.7,166.1,Muscle tremors,Yes,Critical
COW-1537,6,8.11,5.16,3.6,7,24.5,6.3,-1.2,16.5,470.6,Unable to stand,No,Subclinical
COW-1538,3,8.23,5.5,4.0,24,19.4,6.3,20.1,17.6,378.0,Unable to stand,No,Subclinical
COW-1539,7,5.84,5.31,2.7,14,39.5,3.5,7.6,8.4,204.1,Normal movement,Yes,Moderate
COW-1540,7,6.24,4.18,2.7,4,16.7,3.6,-1.5,13.0,353.0,Lethargic,No,Mild
COW-1541,7,7.59,3.15,4.4,12,33.1,6.8,-5.3,16.0,390.9,Normal movement,No,Subclinical
COW-1542,8,4.6,4.49,2.2,21,41.4,0.6,21.9,9.4,117.7,Normal movement,Yes,Critical
COW-1543,3,7.33,6.32,3.7,28,18.8,6.1,33.7,17.5,368.1,Reduced movement,No,Subclinical
COW-1544,6,7.46,4.18,3.3,4,13.7,6.2,-3.2,16.9,462.3,Lethargic,No,Subclinical
COW-1545,5,8.21,3.56,3.6,25,33.9,5.1,38.0,17.7,454.9,Reduced movement,No,Subclinical
COW-1546,6,8.15,7.21,4.0,-2,34.2,5.0,28.4,19.8,440.9,Reduced movement,No,Subclinical
COW-1547,7,9.12,3.61,4.6,23,23.6,9.9,35.0,20.5,571.8,Muscle tremors,No,Normal
COW-1548,5,5.27,7.3,2.5,23,32.1,3.9,33.4,13.3,215.7,Muscle tremors,Yes,Moderate
COW-1549,5,5.78,5.06,4.5,22,40.7,3.6,30.1,14.6,236.5,Reduced movement,Yes,Moderate
COW-1550,2,6.32,5.27,2.1,-2,32.4,4.2,-4.9,16.9,360.7,Muscle tremors,No,Mild
COW-1551,3,5.0,3.55,2.7,3,39.6,2.4,22.7,10.1,249.1,Lethargic,Yes,Moderate
COW-1552,3,7.36,3.99,3.2,6,23.8,6.4,5.8,19.1,469.9,Unable to stand,No,Subclinical
COW-1553,1,10.35,7.87,2.6,5,11.7,8.9,19.0,22.4,586.0,Unable to stand,No,Normal
COW-1554,2,10.42,5.63,4.3,24,39.0,7.5,12.2,22.0,452.1,Reduced movement,No,Normal
COW-1555,4,6.85,4.91,3.3,8,31.0,4.6,39.7,13.6,362.0,Lethargic,No,Mild
COW-1556,4,6.38,4.31,3.9,10,22.9,3.8,22.6,12.9,293.5,Muscle tremors,No,Mild
COW-1557,8,8.77,6.57,4.1,11,12.6,8.0,15.6,22.9,553.0,Normal movement,No,Normal
COW-1558,4,9.44,7.01,4.1,-3,10.2,8.1,12.7,22.2,550.6,Muscle tremors,No,Normal
COW-1559,7,9.84,3.9,2.5,26,42.6,7.4,33.3,24.2,456.2,Reduced movement,No,Normal
COW-1560,7,8.78,7.36,4.5,18,42.4,7.4,0.6,18.3,469.2,Lethargic,No,Normal
COW-1561,5,6.47,5.46,4.9,30,39.9,3.9,21.2,13.0,360.5,Muscle tremors,No,Mild
COW-1562,3,8.61,5.34,2.3,26,11.4,7.5,4.6,21.3,474.5,Unable to stand,No,Normal
COW-1563,8,7.16,4.02,2.9,5,36.2,6.4,30.2,15.7,402.4,Unable to stand,No,Subclinical
COW-1564,4,5.53,5.08,2.2,26,33.7,3.9,33.8,11.7,248.5,Normal movement,Yes,Moderate
COW-1565,2,9.29,3.77,2.2,25,25.9,8.8,37.5,24.7,575.5,Unable to stand,No,Normal
COW-1566,6,6.87,6.66,4.2,3,17.4,4.3,-12.3,17.7,298.7,Lethargic,No,Mild
COW-1567,1,9.99,4.28,2.7,20,13.1,8.6,31.9,22.2,463.9,Reduced movement,No,Normal
COW-1568,7,7.4,5.45,3.3,14,41.6,6.5,18.2,18.3,368.1,Lethargic,No,Subclinical
COW-1569,6,6.46,5.82,3.3,22,38.4,4.0,18.8,17.3,321.5,Muscle tremors,No,Mild
COW-1570,2,6.04,6.43,2.5,26,28.5,3.7,20.6,14.8,283.6,Normal movement,No,Mild
COW-1571,7,8.66,6.42,2.9,10,28.3,9.4,1.3,20.1,597.6,Normal movement,No,Normal
COW-1572,1,7.72,6.6,4.4,17,18.9,6.0,-10.5,17.1,419.7,Unable to stand,No,Subclinical
COW-1573,8,8.86,7.38,2.9,24,36.5,7.5,9.7,20.8,462.5,Lethargic,No,Normal
COW-1574,3,8.92,6.37,3.3,-4,10.2,7.2,-8.6,24.9,488.9,Reduced movement,No,Normal
COW-1575,8,6.62,5.43,3.9,18,34.2,4.7,38.0,17.8,340.3,Muscle tremors,No,Mild
COW-1576,2,5.11,7.85,4.6,8,26.8,2.0,-7.0,8.8,181.9,Reduced movement,Yes,Moderate
COW-1577,4,7.12,3.58,4.7,23,43.7,6.5,10.9,15.7,413.3,Muscle tremors,No,Subclinical
COW-1578,4,7.41,3.51,4.5,22,44.3,6.7,31.7,17.0,400.1,Unable to stand,No,Subclinical
COW-1579,5,7.05,7.68,4.7,26,18.1,5.8,-11.7,17.6,458.7,Normal movement,No,Subclinical
COW-1580,6,7.77,3.58,3.9,17,25.7,5.5,9.0,18.2,483.4,Reduced movement,No,Subclinical
COW-1581,4,9.44,6.42,4.8,24,14.6,8.3,1.1,21.6,538.1,Muscle tremors,No,Normal
COW-1582,6,4.61,4.41,4.2,25,14.5,1.7,-4.0,9.1,154.6,Unable to stand,Yes,Critical
COW-1583,7,8.32,8.0,3.1,11,22.5,6.0,-6.3,16.2,433.5,Unable to stand,No,Subclinical
COW-1584,2,9.18,5.43,5.0,17,36.9,7.3,27.4,19.6,534.3,Unable to stand,No,Normal
COW-1585,3,10.21,3.25,4.8,24,43.7,9.6,26.6,22.2,465.6,Normal movement,No,Normal
COW-1586,2,5.74,7.35,4.7,5,35.5,2.1,23.9,8.7,255.6,Unable to stand,Yes,Moderate
COW-1587,2,7.22,4.01,4.9,-5,18.6,5.7,29.5,19.1,368.4,Lethargic,No,Subclinical
COW-1588,3,8.67,6.32,2.5,28,24.8,8.1,-2.4,23.3,504.1,Muscle tremors,No,Normal
COW-1589,7,8.26,7.72,3.3,-5,35.1,6.9,13.5,17.6,452.3,Normal movement,No,Subclinical
COW-1590,6,9.3,3.19,4.8,4,41.6,9.3,-11.8,21.0,509.0,Unable to stand,No,Normal
COW-1591,7,4.06,6.71,4.7,-5,38.9,1.5,34.5,7.3,116.5,Unable to stand,Yes,Critical
COW-1592,7,5.4,6.26,4.1,20,37.1,2.4,33.5,11.8,274.6,Normal movement,Yes,Moderate
COW-1593,6,9.28,5.7,2.6,27,29.3,9.2,13.7,24.2,528.1,Reduced movement,No,Normal
COW-1594,5,8.98,3.55,2.2,18,19.1,9.3,12.9,23.1,598.0,Normal movement,No,Normal
COW-1595,2,9.4,4.18,4.2,29,39.6,8.7,-2.1,18.0,500.8,Lethargic,No,Normal
COW-1596,3,9.93,5.91,4.5,18,25.9,8.6,-6.9,19.7,499.2,Muscle tremors,No,Normal
COW-1597,2,5.08,3.39,4.0,20,30.6,2.8,13.5,8.9,205.8,Muscle tremors,Yes,Moderate
COW-1598,8,5.57,6.66,3.3,5,15.1,4.0,-8.0,12.8,293.7,Muscle tremors,Yes,Moderate
COW-1599,2,9.89,5.8,4.8,2,31.1,8.4,7.5,18.2,473.5,Normal movement,No,Normal
COW-1600,5,7.06,4.52,3.5,4,15.0,5.3,17.4,16.9,498.7,Normal movement,No,Subclinical
COW-1601,5,4.74,3.61,3.0,-3,24.6,0.8,16.5,8.9,138.7,Unable to stand,Yes,Critical
COW-1602,6,8.09,6.81,3.5,24,36.7,6.0,21.7,18.6,440.9,Reduced movement,No,Subclinical
COW-1603,6,5.08,7.5,3.0,-3,43.5,3.2,34.0,12.4,226.5,Lethargic,Yes,Moderate
COW-1604,3,6.64,5.81,2.4,30,13.0,4.1,37.5,16.8,356.1,Unable to stand,No,Mild
COW-1605,1,8.34,3.09,4.0,29,16.3,6.0,-14.0,18.8,425.4,Reduced movement,No,Subclinical
COW-1606,8,8.67,5.46,4.8,16,25.3,8.6,7.8,20.2,538.3,Unable to stand,No,Normal
COW-1607,5,8.68,3.91,4.3,4,20.7,9.9,7.4,21.8,492.8,Reduced movement,No,Normal
COW-1608,6,8.86,3.71,4.7,11,23.1,9.1,30.5,20.1,464.8,Normal movement,No,Normal
COW-1609,4,10.0,4.93,2.3,-2,21.1,8.8,15.4,21.5,562.9,Normal movement,No,Normal
COW-1610,7,7.89,5.93,2.3,30,32.8,6.8,-8.1,15.1,433.1,Unable to stand,No,Subclinical
COW-1611,2,8.18,5.7,2.5,10,28.8,6.0,8.3,18.9,371.4,Unable to stand,No,Subclinical
COW-1612,1,8.14,3.84,2.2,25,19.6,6.9,-1.2,18.1,448.0,Muscle tremors,No,Subclinical
COW-1613,4,4.32,5.82,2.9,20,34.4,1.3,30.7,4.3,168.7,Unable to stand,Yes,Critical
COW-1614,7,3.8,7.73,3.9,23,19.6,1.3,21.4,8.8,186.1,Lethargic,Yes,Critical
COW-1615,8,10.42,7.61,3.8,-5,41.6,8.0,22.0,24.4,470.1,Muscle tremors,No,Normal
COW-1616,8,8.07,3.39,2.1,23,33.5,6.1,4.4,18.9,447.4,Muscle tremors,No,Subclinical
COW-1617,6,5.35,3.62,3.1,7,25.6,3.7,-2.8,13.7,298.1,Normal movement,Yes,Moderate
COW-1618,6,6.17,4.11,4.9,18,11.3,4.6,12.1,15.8,371.3,Unable to stand,No,Mild
COW-1619,4,10.47,5.5,2.5,7,33.1,8.9,16.1,18.8,491.6,Unable to stand,No,Normal
COW-1620,2,7.82,7.28,4.6,12,16.7,6.5,22.3,15.6,490.0,Unable to stand,No,Subclinical
COW-1621,8,6.0,7.27,3.0,21,19.6,3.9,22.4,16.0,347.5,Muscle tremors,No,Mild
COW-1622,1,8.24,5.24,2.0,7,21.7,5.4,33.4,16.4,413.0,Normal movement,No,Subclinical
COW-1623,4,4.87,3.82,2.9,1,11.0,1.1,8.8,4.4,110.0,Normal movement,Yes,Critical
COW-1624,6,8.18,7.16,4.5,28,37.8,5.5,36.9,17.4,493.8,Unable to stand,No,Subclinical
COW-1625,2,6.56,3.17,2.9,-1,37.4,4.2,-11.6,12.5,259.1,Muscle tremors,No,Mild
COW-1626,7,8.63,4.91,2.3,21,18.2,9.0,18.0,21.9,494.2,Unable to stand,No,Normal
COW-1627,7,9.43,6.25,4.0,-4,25.9,8.3,3.1,22.3,465.2,Reduced movement,No,Normal
COW-1628,1,9.69,5.87,3.9,11,22.4,7.2,11.5,23.5,479.0,Unable to stand,No,Normal
COW-1629,4,7.19,5.57,4.0,17,20.9,5.1,33.7,15.6,437.7,Reduced movement,No,Subclinical
COW-1630,5,9.71,6.29,2.4,10,27.7,7.9,30.9,24.8,527.7,Normal movement,No,Normal
COW-1631,4,8.37,3.95,3.4,24,31.0,6.3,3.2,16.0,360.3,Unable to stand,No,Subclinical
COW-1632,6,7.86,6.95,2.1,9,42.2,5.8,20.1,15.8,418.1,Reduced movement,No,Subclinical
COW-1633,4,7.33,6.7,2.6,6,38.9,6.5,-14.6,19.8,399.7,Normal movement,No,Subclinical
COW-1634,1,9.61,7.56,3.1,-4,17.0,7.4,0.6,21.1,544.7,Reduced movement,No,Normal
COW-1635,3,5.31,7.21,4.7,-4,39.1,3.1,-7.5,9.2,182.6,Normal movement,Yes,Moderate
COW-1636,4,9.11,7.71,4.9,22,40.7,7.7,-11.4,23.7,549.1,Reduced movement,No,Normal
COW-1637,3,5.72,6.0,4.9,10,42.2,2.4,27.0,10.6,224.9,Unable to stand,Yes,Moderate
COW-1638,5,10.08,7.36,4.6,26,17.3,8.0,-10.5,18.4,569.3,Muscle tremors,No,Normal
COW-1639,2,5.15,4.87,3.6,6,21.3,2.8,5.6,14.2,270.1,Muscle tremors,Yes,Moderate
COW-1640,8,6.43,6.25,2.6,7,25.8,4.2,-2.1,15.8,368.6,Reduced movement,No,Mild
COW-1641,7,9.64,3.67,2.3,23,28.2,9.8,-2.3,20.6,532.6,Normal movement,No,Normal
COW-1642,6,7.6,4.59,3.1,6,25.5,5.9,-0.4,17.0,470.7,Normal movement,No,Subclinical
COW-1643,2,7.41,4.38,2.7,2,12.5,6.0,-12.9,17.7,361.7,Reduced movement,No,Subclinical
COW-1644,6,9.0,3.95,3.8,3,44.9,9.2,26.4,23.4,576.8,Unable to stand,No,Normal
COW-1645,1,5.69,7.73,4.5,-5,26.5,2.6,13.2,10.4,299.6,Reduced movement,Yes,Moderate
COW-1646,4,5.2,6.93,4.3,24,21.9,3.5,-10.3,11.3,241.9,Reduced movement,Yes,Moderate
COW-1647,7,7.29,5.89,2.4,-5,27.5,5.9,21.2,17.8,406.2,Lethargic,No,Subclinical
COW-1648,7,9.35,4.5,3.8,-3,42.3,9.3,-6.5,23.3,553.6,Lethargic,No,Normal
COW-1649,7,8.37,3.94,2.3,23,32.4,5.4,1.8,17.0,430.2,Reduced movement,No,Subclinical
COW-1650,3,8.56,3.35,4.9,13,17.2,9.1,1.0,21.4,478.0,Unable to stand,No,Normal
COW-1651,1,9.24,4.96,5.0,3,28.8,7.0,11.3,20.3,586.5,Normal movement,No,Normal
COW-1652,4,7.18,5.37,3.8,14,30.6,5.4,12.6,17.2,456.5,Muscle tremors,No,Subclinical
COW-1653,1,10.48,4.23,3.0,26,26.1,8.3,16.7,23.8,540.7,Normal movement,No,Normal
COW-1654,8,9.19,7.12,4.5,21,18.7,9.5,34.5,23.5,508.7,Muscle tremors,No,Normal
COW-1655,3,7.98,7.43,2.5,29,20.2,5.2,35.4,18.5,356.5,Reduced movement,No,Subclinical
COW-1656,7,5.89,3.53,4.3,15,24.4,3.1,-5.9,15.0,189.2,Reduced movement,Yes,Moderate
COW-1657,8,7.04,4.72,3.2,7,23.9,6.3,-14.4,18.4,419.3,Normal movement,No,Subclinical
COW-1658,3,6.29,5.74,2.7,23,14.9,4.5,30.1,14.9,260.2,Reduced movement,No,Mild
COW-1659,1,9.71,3.84,4.0,-5,33.7,7.5,-6.6,18.9,561.2,Lethargic,No,Normal
COW-1660,1,10.29,6.17,3.6,1,23.7,8.6,2.0,21.1,457.2,Normal movement,No,Normal
COW-1661,1,8.08,4.19,2.3,21,11.0,6.5,-14.2,19.6,406.2,Reduced movement,No,Subclinical
COW-1662,2,6.2,3.84,2.5,21,27.9,4.8,29.9,16.8,374.6,Lethargic,No,Mild
COW-1663,4,7.87,4.16,2.3,15,16.1,6.9,7.1,17.0,414.2,Lethargic,No,Subclinical
COW-1664,4,9.42,4.84,2.2,8,24.4,7.2,27.2,23.7,547.5,Muscle tremors,No,Normal
COW-1665,2,4.5,4.26,2.3,15,44.3,1.7,23.3,9.5,148.3,Reduced movement,Yes,Critical
COW-1666,6,10.46,7.56,3.3,27,32.4,9.0,-2.2,18.5,452.6,Unable to stand,No,Normal
COW-1667,1,6.21,6.69,4.3,0,12.1,4.2,5.6,17.4,296.3,Lethargic,No,Mild
COW-1668,7,8.91,7.73,4.2,16,14.7,7.1,2.5,24.5,539.7,Normal movement,No,Normal
COW-1669,7,7.91,4.66,2.7,29,11.9,5.6,35.5,15.1,477.0,Reduced movement,No,Subclinical
COW-1670,4,5.55,3.03,4.6,-1,43.4,2.8,-12.1,10.3,233.1,Reduced movement,Yes,Moderate
COW-1671,3,3.63,4.18,2.2,24,20.9,1.4,24.7,9.0,191.8,Reduced movement,Yes,Critical
COW-1672,4,7.42,7.31,3.4,18,23.9,6.2,-5.8,19.8,380.2,Muscle tremors,No,Subclinical
COW-1673,7,8.06,4.91,4.6,14,30.8,6.6,-6.6,19.0,353.0,Reduced movement,No,Subclinical
COW-1674,8,9.11,4.67,4.1,7,15.4,7.8,-4.6,21.9,522.1,Normal movement,No,Normal
COW-1675,6,5.44,4.87,3.5,-1,24.3,3.9,-12.9,14.6,296.5,Normal movement,Yes,Moderate
COW-1676,3,7.27,6.61,3.5,26,32.2,5.9,5.2,16.3,487.0,Normal movement,No,Subclinical
COW-1677,7,6.66,6.15,4.0,4,19.1,3.5,10.1,12.2,372.0,Reduced movement,No,Mild
COW-1678,3,8.52,4.99,3.8,0,28.1,9.3,-4.6,22.5,587.5,Muscle tremors,No,Normal
COW-1679,7,9.01,4.91,2.9,21,36.3,7.9,35.8,24.8,548.8,Normal movement,No,Normal
COW-1680,6,10.13,6.5,2.0,5,38.6,7.8,-14.9,19.5,562.2,Normal movement,No,Normal
COW-1681,7,6.47,4.87,4.1,7,27.0,4.3,12.6,16.4,275.6,Normal movement,No,Mild
COW-1682,4,7.26,4.3,4.7,21,25.4,5.1,35.2,15.9,463.9,Normal movement,No,Subclinical
COW-1683,3,5.07,3.15,2.7,26,33.5,2.2,-9.5,8.9,187.7,Normal movement,Yes,Moderate
COW-1684,1,9.83,6.96,3.1,28,44.5,9.4,26.9,18.3,481.7,Muscle tremors,No,Normal
COW-1685,6,7.85,4.58,2.7,18,33.3,5.7,5.8,18.4,401.5,Normal movement,No,Subclinical
COW-1686,6,4.63,7.18,4.8,-4,31.1,0.5,32.8,9.2,128.2,Lethargic,Yes,Critical
COW-1687,4,4.02,5.07,2.6,15,10.6,1.4,4.8,8.0,137.0,Normal movement,Yes,Critical
COW-1688,6,4.45,6.97,3.0,25,44.5,0.9,32.1,6.9,168.7,Normal movement,Yes,Critical
COW-1689,5,6.55,6.92,4.1,-3,14.5,4.4,28.8,17.2,381.4,Lethargic,No,Mild
COW-1690,8,5.15,4.2,2.6,0,13.7,2.9,39.6,8.8,259.5,Normal movement,Yes,Moderate
COW-1691,6,10.31,5.38,4.7,2,33.3,9.3,35.8,19.5,488.6,Muscle tremors,No,Normal
COW-1692,6,10.24,6.22,3.1,19,32.9,9.8,28.2,23.4,540.1,Muscle tremors,No,Normal
COW-1693,4,5.23,5.96,2.6,2,30.0,2.6,-8.0,8.8,220.8,Lethargic,Yes,Moderate
COW-1694,1,3.94,5.12,4.3,3,28.2,1.4,18.1,5.1,126.6,Reduced movement,Yes,Critical
COW-1695,1,9.58,7.19,3.5,24,15.2,8.4,0.6,19.0,591.4,Normal movement,No,Normal
COW-1696,5,7.7,5.87,3.9,8,27.3,6.4,23.7,16.4,477.2,Muscle tremors,No,Subclinical
COW-1697,6,8.81,4.13,4.2,6,40.0,9.2,25.0,23.9,590.2,Lethargic,No,Normal
COW-1698,3,4.89,7.95,4.3,20,12.5,1.3,25.0,6.0,161.3,Lethargic,Yes,Critical
COW-1699,4,6.63,6.96,4.6,-2,39.7,4.1,24.0,12.6,298.5,Muscle tremors,No,Mild
COW-1700,3,6.4,7.02,2.6,-5,22.7,4.0,32.1,17.4,281.5,Normal movement,No,Mild
COW-1701,3,6.34,3.28,3.1,25,16.3,5.0,-12.1,16.1,275.2,Unable to stand,No,Mild
COW-1702,7,6.87,4.2,3.5,6,32.8,4.3,5.6,14.4,255.1,Normal movement,No,Mild
COW-1703,7,6.25,3.41,3.5,27,17.9,4.3,17.3,14.2,268.0,Unable to stand,No,Mild
COW-1704,2,8.11,5.17,3.7,1,21.4,5.4,24.3,17.4,446.7,Unable to stand,No,Subclinical
COW-1705,1,9.29,3.32,4.5,29,35.0,9.5,28.5,23.5,529.5,Normal movement,No,Normal
COW-1706,4,6.87,3.9,3.7,15,14.3,4.8,-7.9,13.1,339.9,Reduced movement,No,Mild
COW-1707,2,6.51,5.53,3.1,29,16.0,4.7,38.7,12.2,397.0,Normal movement,No,Mild
COW-1708,1,10.39,5.22,3.7,15,28.3,8.6,39.2,23.5,548.9,Lethargic,No,Normal
COW-1709,4,6.62,3.71,4.6,8,43.5,4.3,18.1,12.3,255.5,Reduced movement,No,Mild
COW-1710,5,7.18,4.91,4.7,20,26.0,6.2,37.0,15.4,388.2,Muscle tremors,No,Subclinical
COW-1711,3,4.25,6.48,2.6,18,29.7,0.6,20.6,8.4,199.4,Unable to stand,Yes,Critical
COW-1712,7,6.74,7.82,2.7,12,14.4,3.6,-9.0,16.7,306.8,Unable to stand,No,Mild
COW-1713,6,7.9,7.34,2.7,-5,13.4,5.7,38.9,16.7,391.0,Reduced movement,No,Subclinical
COW-1714,2,8.1,5.94,4.4,1,28.5,5.2,23.5,17.6,481.3,Lethargic,No,Subclinical
COW-1715,2,8.26,4.73,4.2,29,29.3,5.3,33.5,19.7,408.4,Muscle tremors,No,Subclinical
COW-1716,3,7.36,3.71,3.7,12,11.9,6.4,24.9,18.6,448.6,Lethargic,No,Subclinical
COW-1717,4,6.61,4.77,3.4,13,19.7,3.8,8.5,14.7,315.8,Reduced movement,No,Mild
COW-1718,2,10.39,3.4,4.2,0,15.8,8.2,-11.8,20.2,463.5,Lethargic,No,Normal
COW-1719,8,8.13,7.66,2.4,26,28.0,5.0,39.9,19.7,451.6,Unable to stand,No,Subclinical
COW-1720,7,6.01,5.12,3.6,17,18.5,3.4,25.6,17.0,251.1,Unable to stand,No,Mild
COW-1721,1,6.55,5.62,2.7,-1,22.8,4.9,-7.7,16.0,382.3,Lethargic,No,Mild
COW-1722,7,4.19,6.4,4.5,2,20.2,0.8,11.6,9.8,120.6,Lethargic,Yes,Critical
COW-1723,7,8.93,7.13,2.1,24,41.2,7.9,31.7,24.5,546.4,Normal movement,No,Normal
COW-1724,8,7.46,3.93,3.1,1,25.1,5.7,-4.1,15.0,483.5,Unable to stand,No,Subclinical
COW-1725,3,7.58,4.25,3.4,18,20.5,6.8,8.6,15.0,465.4,Reduced movement,No,Subclinical
COW-1726,5,7.15,4.77,3.3,17,40.9,5.9,24.0,19.2,374.3,Normal movement,No,Subclinical
COW-1727,1,8.77,6.33,4.8,12,14.2,8.3,11.9,20.3,454.7,Muscle tremors,No,Normal
COW-1728,3,5.29,7.62,4.5,19,14.6,3.5,37.7,14.2,240.2,Normal movement,Yes,Moderate
COW-1729,6,9.5,4.71,4.9,-5,25.2,9.3,0.9,19.7,551.7,Muscle tremors,No,Normal
COW-1730,7,9.0,6.83,4.6,10,33.3,7.5,8.6,21.6,487.4,Muscle tremors,No,Normal
COW-1731,2,6.63,5.96,3.9,9,14.2,4.0,7.1,13.1,398.9,Lethargic,No,Mild
COW-1732,3,4.1,5.04,2.9,9,17.8,1.4,8.4,4.5,86.1,Normal movement,Yes,Critical
COW-1733,1,7.43,5.09,3.0,-2,16.4,5.5,-15.0,16.4,402.7,Lethargic,No,Subclinical
COW-1734,8,9.06,5.46,3.0,2,13.4,8.8,-14.2,21.0,487.8,Unable to stand,No,Normal
COW-1735,3,6.3,5.64,3.1,12,17.4,4.5,6.1,14.2,366.8,Normal movement,No,Mild
